ZipCode,State,TaxRegionName,CombinedRate
35237,AL,BIRMINGHAM (JEFFERSON CO),0.1
35238,AL,SHELBY COUNTY,0.05
35242,AL,HOOVER PJ (SHELBY  CO),0.065
35243,AL,VESTAVIA HILLS (JEFFERSON CO),0.09
35244,AL,HOOVER (JEFFERSON CO),0.09
35249,AL,BIRMINGHAM (JEFFERSON CO),0.1
35253,AL,HOMEWOOD,0.09
35254,AL,BIRMINGHAM (JEFFERSON CO),0.1
35255,AL,BIRMINGHAM (JEFFERSON CO),0.1
35259,AL,HOMEWOOD,0.09
35260,AL,HOOVER (JEFFERSON CO),0.09
35261,AL,BIRMINGHAM (JEFFERSON CO),0.1
35266,AL,HOMEWOOD,0.09
35270,AL,BIRMINGHAM (JEFFERSON CO),0.1
35282,AL,BIRMINGHAM (JEFFERSON CO),0.1
35285,AL,BIRMINGHAM (JEFFERSON CO),0.1
35293,AL,HOMEWOOD,0.09
35294,AL,BIRMINGHAM (JEFFERSON CO),0.1
35295,AL,BIRMINGHAM (JEFFERSON CO),0.1
35401,AL,TUSCALOOSA,0.09
35402,AL,TUSCALOOSA,0.09
35403,AL,TUSCALOOSA,0.09
35404,AL,TUSCALOOSA,0.09
35405,AL,TUSCALOOSA,0.09
35406,AL,TUSCALOOSA,0.09
35407,AL,TUSCALOOSA,0.09
35440,AL,TUSCALOOSA COUNTY,0.09
35441,AL,HALE COUNTY,0.07
35442,AL,ALICEVILLE,0.09
35443,AL,GREENE COUNTY,0.07
35444,AL,BROOKWOOD,0.09
35446,AL,TUSCALOOSA COUNTY,0.09
35447,AL,PICKENS COUNTY,0.08
35448,AL,GREENE COUNTY,0.07
35449,AL,COALING,0.1
35452,AL,NORTHPORT PJ,0.09
35453,AL,TUSCALOOSA PJ,0.09
35456,AL,TUSCALOOSA PJ,0.09
35457,AL,TUSCALOOSA COUNTY,0.09
35458,AL,TUSCALOOSA COUNTY,0.09
35459,AL,SUMTER COUNTY,0.07
35460,AL,SUMTER COUNTY,0.07
35461,AL,PICKENS COUNTY,0.08
35462,AL,EUTAW,0.1
35463,AL,TUSCALOOSA COUNTY,0.09
35464,AL,SUMTER COUNTY,0.07
35466,AL,PICKENS COUNTY,0.08
35468,AL,TUSCALOOSA COUNTY,0.09
35469,AL,GREENE COUNTY,0.07
35470,AL,SUMTER COUNTY,0.07
35471,AL,PICKENS COUNTY,0.08
35473,AL,NORTHPORT,0.09
35474,AL,HALE COUNTY,0.07
35475,AL,TUSCALOOSA PJ,0.09
35476,AL,NORTHPORT,0.09
35477,AL,SUMTER COUNTY,0.07
35478,AL,TUSCALOOSA PJ,0.09
35480,AL,TUSCALOOSA COUNTY,0.09
35481,AL,PICKENS COUNTY,0.08
35482,AL,TUSCALOOSA COUNTY,0.09
35486,AL,TUSCALOOSA,0.09
35487,AL,TUSCALOOSA,0.09
35490,AL,VANCE PJ (TUSCALOOSA CO),0.09
35491,AL,GREENE COUNTY,0.07
35501,AL,JASPER,0.09
35502,AL,JASPER,0.09
35503,AL,WALKER COUNTY,0.06
35504,AL,WALKER COUNTY,0.06
35540,AL,WINSTON COUNTY,0.06
35541,AL,WINSTON COUNTY,0.06
35542,AL,FAYETTE COUNTY,0.06
35543,AL,BEAR CREEK,0.09
35544,AL,LAMAR COUNTY,0.06
35545,AL,BELK,0.07
35546,AL,FAYETTE COUNTY,0.06
